Vos notes Kindle pour :,,,;
"Surlignement (Jaune),""Emplacement 1496"","""",""Clarifying Strategy Define goals, identify key messages, and determine appropriate strategies for naming, branding, and positioning.""";
"Surlignement (Jaune),""Emplacement 1498"","""",""Designing Identity Define a unifying “big idea” and develop a visual strategy.""";
"Surlignement (Jaune),""Emplacement 1499"","""",""Creating Touchpoints Produce visual elements, refine the look and feel, and protect trademarks. Managing Assets Develop and implement a launch strategy to unveil brand elements, define brand standards, and establish guidelines to ensure consistency.""";
"Surlignement (Jaune),""Emplacement 1523"","""",""document that says “who we are";" who we are not.”"""
"Note,""Emplacement 1524"","""",""Aller plus loin que ça en le personifiant""";
"Surlignement (Jaune),""Emplacement 1524"","""",""“we are global, but we are not corporate”""";
"Note,""Emplacement 1524"","""",""Commemt etre corporate?""";
"Surlignement (Jaune),""Emplacement 1525"","""",""“You’ll start to see patterns emerging…words and phrases that appear repeatedly,”""";
"Surlignement (Jaune),""Emplacement 1526"","""",""Once the culture is identified and defined, the brand’s personality, assets, and messaging can be designed as manifestations of those ideals.""";
"Surlignement (Jaune),""Emplacement 1528"","""",""“Brand positioning is about identifying the space you want your brand to occupy in your audience’s minds,”""";
"Surlignement (Jaune),""Emplacement 1529"","""",""“What do you exist in the world to do? You have to nail your answer to that. Everything cascades from that.”""";
"Surlignement (Jaune),""Emplacement 1531"","""",""Positioning is about the brand, not the product that the company offers. “Focusing positioning on the product commoditizes your brand and is short-sighted,”""";
"Surlignement (Jaune),""Emplacement 1532"","""",""It will box you into a category, making it difficult to elevate and leverage brand recognition if you expand into a new market or pivot for the future.""";
"Note,""Emplacement 1533"","""",""Sales=parler aux dirigeants, ce n'est pas de la qu'emane la valeur. Dans les Opérations  et ce qyi estdifficile de faire (ex: virer des gens). Penser a ce qui a un cout émotionnel . Ou qui porte le risque """;
"Surlignement (Jaune),""Emplacement 1534"","""",""continues,""";
"Note,""Emplacement 1534"","""",""Il y a des ingénieurs paye pour exploter vos failes psychologiques""";
"Surlignement (Jaune),""Emplacement 1544"","""",""“The thing to remember about brand building is that everything communicates — so once you know who you are and what your values are, infuse them through everything you do and produce,”""";
"Surlignement (Jaune),""Emplacement 1551"","""",""if you are a hardware startup, you may need packaging that shows off your product but also communicates your brand.""";
"Surlignement (Jaune),""Emplacement 1555"","""",""Early brand building takes a lot of time and discipline. It should be a serious, process-driven endeavor.""";
"Surlignement (Jaune),""Emplacement 1562"","""",""A fundamental component of brand identity is brand personality.""";
"Surlignement (Jaune),""Emplacement 1568"","""",""Brands can be kind, funny, masculine, elegant…the possibilities are endless.""";
"Surlignement (Jaune),""Emplacement 1571"","""",""Archetypes are a universal model for a personality, such as “the Joker” or “the Rebel.”""";
"Surlignement (Jaune),""Emplacement 1603"","""",""Brand Assets and Touchpoints""";
"Note,""Emplacement 1604"","""",""Travailler sur adequation produit et besoin""";
"Surlignement (Jaune),""Emplacement 1607"","""",""Assets include the brand name, logo, tagline, graphics, color palettes, and sounds…sometimes even scents and tastes.""";
"Surlignement (Jaune),""Emplacement 1617"","""",""The ability to extend a product line in the future is also something to consider. Apple has done this exceptionally well. The “iDevice” naming convention has taken it through decades of hardware products (iMac, iBook, iPod, iPhone, iPad),""";
"Surlignement (Jaune),""Emplacement 1628"","""",""A""";
"Note,""Emplacement 1628"","""",""J'ai deja mon nom d'entrepriqe:poser sur papier cette analyse""";
"Surlignement (Jaune),""Emplacement 1629"","""",""Word association and building off of the creativity of others can make it a lot easier and more enjoyable.""";
"Note,""Emplacement 1630"","""",""Oui et particulièrement avec des litteraires""";
"Surlignement (Jaune),""Emplacement 1633"","""",""San Francisco naming consultancy Eat My Words has a series of criteria that it calls the SMILE & SCRATCH test.""";
"Surlignement (Jaune),""Emplacement 1637"","""",""SCRATCH test helps you determine if it should be scrapped: Spelling-challenged — looks like a typo Copycat — similar to competitor’s name Restrictive — limits future growth Annoying — forced Tame — flat, uninspired Curse of knowledge — only insiders get it Hard-to-pronounce — not obvious, unapproachable""";
"Note,""Emplacement 1640"","""",""Forvo pour la prononciation""";
"Surlignement (Jaune),""Emplacement 1643"","""",""They test names with focus groups.""";
"Note,""Emplacement 1643"","""",""Carte blanche: comment fait on pour deposer le nom? deposer les noms americano français """;
"Surlignement (Jaune),""Emplacement 1644"","""",""What do you think this business does? Can you spell it? (Can you pronounce it?) Does this name remind you of any particular product? What do you think of when you read the name?""";
"Surlignement (Jaune),""Emplacement 1647"","""",""You can reach a wide audience for a minimal fee using a service such as Mechanical Turk or Crowdflower to find survey participants.""";
"Note,""Emplacement 1649"","""",""Est ce qyue carte blanche ou carte-blanche?""";
"Surlignement (Jaune),""Emplacement 1677"","""",""Contour""";
"Note,""Emplacement 1677"","""",""Chercher tous les mots clés du champ lexical et voir ce qui traduit la france""";
"Surlignement (Jaune),""Emplacement 1685"","""",""The lack of a crystal-clear value proposition, combined with nebulous positioning, made competing with its well-branded rival an insurmountable challenge.""";
"Surlignement (Jaune),""Emplacement 1708"","""",""they’re laser-focused on""";
"Note,""Emplacement 1708"","""",""Funny""";
"Surlignement (Jaune),""Emplacement 1717"","""",""Certain colors evoke specific emotions.""";
"Surlignement (Jaune),""Emplacement 1717"","""",""A logo can be a""";
"Note,""Emplacement 1717"","""",""Can be a flag? Fag generator?""";
"Surlignement (Jaune),""Emplacement 1720"","""",""if your brand personality is elegant and sophisticated, a low-resolution cartoon animal logo would seem incongruous.""";
"Surlignement (Jaune),""Emplacement 1722"","""",""For a good example of precise execution around visual identity, check out Google’s Visual Assets Guidelines.""";
"Surlignement (Jaune),""Emplacement 1724"","""",""your designer""";
"Note,""Emplacement 1724"","""",""Commencer a designer des maintenant,dictionnaire des symbole """;
"Surlignement (Jaune),""Emplacement 1731"","""",""To identify touchpoints, think about your outreach channels: media, packaging, advertising, environment (e.g., stores).""";
"Surlignement (Jaune),""Emplacement 1733"","""",""Touchpoints can be quick or sustained, personalized or mass-market, real-time or static.""";
"Surlignement (Jaune),""Emplacement 1740"","""",""Hello Future’s Brand Touchpoint Matrix""";
"Surlignement (Jaune),""Emplacement 1749"","""",""Both individual and cumulative experiences matter.""";
"Note,""Emplacement 1749"","""",""Les limiter au debut""";
"Surlignement (Jaune),""Emplacement 1766"","""",""Positioning is a function of three elements: customers, competitors, and a characteristic.""";
"Surlignement (Jaune),""Emplacement 1770"","""",""differentiate your product from the competition: by features, price, or some other factor.""";
"Note,""Emplacement 1770"","""",""Penser au prix""";
"Surlignement (Jaune),""Emplacement 1776"","""",""For (target customer) who (statement of the need or opportunity), the (product name) is a (product category) that (statement of key benefit — that is, compelling reason to buy). Unlike (primary competitive alternative), our product (statement of primary differentiation).""";
"Surlignement (Jaune),""Emplacement 1789"","""",""From the minute you exit stealth mode and the public becomes aware""";
"Surlignement (Jaune),""Emplacement 1789"","""",""of your existence, consumers — as well as potential hires, partners, and investors! — are forming a perception of who you are.""";
"Surlignement (Jaune),""Emplacement 1802"","""",""lot of companies in general that are building for the first time, spend a lot of time on the product and the technology. The brand and how you’re going to market it is just as important.”""";
"Note,""Emplacement 1803"","""",""Ponderer mo  temps en fonction de ces valeurs""";
"Surlignement (Jaune),""Emplacement 1807"","""",""“You can build a great product, but if you can’t explain what it is and how it works really simply, and then build a story around it, it’s not going to sell,”""";
"Surlignement (Jaune),""Emplacement 1823"","""",""The team had anticipated this. Their first blog post — “Thermostats? Yes, thermostats.” — introduces the company by poking fun at the skepticism and then goes on to clearly articulate""";
"Note,""Emplacement 1825"","""",""Noter les quetions de gens autpur et y répondre sur un blog""";
"Surlignement (Jaune),""Emplacement 1846"","""",""“fail early and often.”""";
"Surlignement (Jaune),""Emplacement 1851"","""",""It’s important to learn from every prototype by defining a hypothesis, or something you expect to learn from each prototype.""";
"Surlignement (Jaune),""Emplacement 1876"","""",""Dave says that prototypes are fundamentally made for communicating ideas,""";
"Surlignement (Jaune),""Emplacement 1886"","""",""While getting a prototype to the meeting is important to show the direction the design is going and to spur a conversation, it’s also important to look forward to the potential new aspects that the design suggests and not to get caught up on small details of the prototype, such as the specific color or the edge treatment of a stock material used.""";
"Surlignement (Jaune),""Emplacement 1912"","""",""It can also be helpful to keep the fancy shapes and curves out of the design you’re showing to users until you have an industrial designer take a pass at it. Stick with rectangular boxes and cylinders containing all the parts for the early prototypes.""";
"Surlignement (Jaune),""Emplacement 1916"","""",""Especially if you’re transitioning from a software or business background, it’s important to get your hands dirty making.""";
"Surlignement (Jaune),""Emplacement 1933"","""",""Prototyping""";
"Note,""Emplacement 1933"","""",""Visualisation que je peux protoyper un roduit plus complexe qu'un simple gadget iot mais qch de plus grand. Advance warfare""";
"Surlignement (Jaune),""Emplacement 1966"","""",""Gestural prototype""";
"Surlignement (Jaune),""Emplacement 1968"","""",""meaning there is lots of hand-waving and saying things like “imagine if it did X” to visualize the device’s user experience.""";
"Surlignement (Jaune),""Emplacement 2000"","""",""It’s also important to separate subsystems when prototyping complicated products. This can help during user trials, to isolate feedback to one area or feature set.""";
"Surlignement (Jaune),""Emplacement 2002"","""",""Mechanical engineering (ME) and electrical engineering (EE) prototyping is often separate at the beginning of a development cycle, with firmware and software integrating even later.""";
"Surlignement (Jaune),""Emplacement 2005"","""",""Sometimes, engineers can get stuck in analysis paralysis, unable to completely perfect a design, feature, or algorithm, and thus unwilling to release the current version and move on.""";
"Surlignement (Jaune),""Emplacement 2012"","""",""Taking apart competitors’ products already on the market (commonly referred to as teardowns) can be helpful early in the prototyping process. iFixit is the best resource for well-documented teardowns of common products.""";
"Surlignement (Jaune),""Emplacement 2031"","""",""Industrial Design Industrial design (ID) is the process of creating the look and feel for a product or brand line.""";
"Surlignement (Jaune),""Emplacement 2035"","""",""any known sizes or volumes that need to be accommodated for functionality""";
"Surlignement (Jaune),""Emplacement 2038"","""",""The normal output of these engagements will be a CMF document detailing the look and feel of the product, along with some form of CAD.""";
"Surlignement (Jaune),""Emplacement 2041"","""",""so a mechanical engineer, manufacturing engineer, or process engineer will need to get involved to make the tricky parts of the design real,""";
"Surlignement (Jaune),""Emplacement 2045"","""",""While industrial design can be the first step in large corporate new product introductions (NPIs) that have a clearly defined scope, it probably isn’t the most appropriate first step for a cash-strapped startup.""";
"Surlignement (Jaune),""Emplacement 2057"","""",""interaction design (IxD).""";
"Surlignement (Jaune),""Emplacement 2084"","""",""Almost all of the tools that we mention here can be found at your local makerspace and can be used for a monthly fee. To use them you have to become certified by taking one of their classes.""";
"Note,""Emplacement 2085"","""",""Penser des maintenant a la certification necessaire""";
"Surlignement (Jaune),""Emplacement 2095"","""",""Firmware engineers develop the code (generally C) that lives on a device permanently and directly controls all actuations and reads all sensors.""";
"Surlignement (Jaune),""Emplacement 2096"","""",""Firmware engineers will work very closely with the electrical engineering team, often in the same group.""";
"Surlignement (Jaune),""Emplacement 2105"","""",""Depending on the product, you may be able to get by just proving that you can collect data from your sensors or that you can make your hardware device function with your chosen connectivity solution. Though we don’t recommend it, many teams start developing the software only as the hardware is going through design for manufacture (DFM).""";
"Surlignement (Jaune),""Emplacement 2118"","""",""Having larger prototyping equipment inhouse can not only make things faster";" it can also familiarize your team with the prototyping process and help them better design for the tools. One downside is the overhead required to maintain this equipment, as it can often break and put a hiccup in your cycle."""
"Note,""Emplacement 2120"","""",""Se poser la question de posseder ou non les machines""";
"Surlignement (Jaune),""Emplacement 2125"","""",""If it’s the first time you’ve used a certain process, you should send out quotes to at least three or four vendors and determine the trade-offs among them. This inquiry is often called RFQ (request for quote). Traditionally, MEs have created 2D drawings to communicate their design intent and acceptable tolerances, but this has become less popular with the advent of ubiquitous 3D CAD tools and more standardized prototyping tolerances. It is common now to send a 3D CAD transfer file (.stp or .igs) accompanied by a PDF that shows the CMF along with any tricky areas to prototype. EE releases typically involve Gerber files, drill files, and potentially any paneling input on how to nest the boards, depending on the vendor.""";
"Surlignement (Jaune),""Emplacement 2135"","""",""trade-off between cost and time (e.g., Vendor A can fabricate your boards in two weeks for $500""";
"Surlignement (Jaune),""Emplacement 2159"","""",""integrated circuits (ICs),""";
"Surlignement (Jaune),""Emplacement 2164"","""",""Many vendors will supply free samples if you show them you are serious about eventually shipping a product.""";
"Note,""Emplacement 2165"","""",""Faire de ses fournisseurs des alliés de vente, des personns a qui l'on parle du projet""";
"Surlignement (Jaune),""Emplacement 2171"","""",""He cautions startups against a racing toward miniaturization to the final form factor early in development.""";
"Surlignement (Jaune),""Emplacement 2172"","""",""“Make it bigger on the first prototypes. In many cases, form factor isn’t going to be the most important thing when you’re debugging.”""";
"Surlignement (Jaune),""Emplacement 2180"","""",""These are some helpful tools to have on hand: Portable drills""";
"Surlignement (Jaune),""Emplacement 2183"","""",""Bandsaw""";
"Surlignement (Jaune),""Emplacement 2189"","""",""Lathe""";
"Surlignement (Jaune),""Emplacement 2198"","""",""Oscilloscope""";
"Note,""Emplacement 2198"","""",""To buy""";
"Surlignement (Jaune),""Emplacement 2202"","""",""Pick-n-place""";
"Surlignement (Jaune),""Emplacement 2206"","""",""Reflow oven""";
"Surlignement (Jaune),""Emplacement 2207"","""",""A small oven that heats up the entire board with components on it and solders them all into one printed circuit board assembly (PCBA). Some scrappy startups use an old toaster oven for a reflow oven.""";
"Surlignement (Jaune),""Emplacement 2225"","""",""you’ll need to make an important decision whether or not to use a microcontroller or a microprocessor.""";
"Surlignement (Jaune),""Emplacement 2228"","""",""To make the decision, you’ll have to evaluate trade-offs among processing, power consumption, cost, and size.""";
"Surlignement (Jaune),""Emplacement 2231"","""",""You’ll need to pick a real-time operating system (RTOS) to use.""";
"Surlignement (Jaune),""Emplacement 2247"","""",""A microprocessor""";
"Surlignement (Jaune),""Emplacement 2249"","""",""Many companies use Yocto to create custom real-time Linux distributions for their products.""";
